시,구,동,전체합계,합계(남),합계(여),합계(국민기초생활보장_수급권자),국민기초생활보장_수급권자_남,국민기초생활보장_수급권자_여,합계(저소득노인),저소득노인_남,저소득노인_여,합계(일반),일반_남,일반_여
서울특별시,소계,소계,448251,149748,298503,129275,48661,80614,12775,3619,9156,306201,97468,208733
서울특별시,종로구,소계,11178,4748,6430,2231,1213,1018,403,127,276,8544,3408,5136
서울특별시,종로구,사직동,556,197,359,54,24,30,14,5,9,488,168,320
서울특별시,종로구,삼청동,193,58,135,17,7,10,10,2,8,166,49,117
서울특별시,종로구,부암동,458,157,301,44,15,29,12,-,12,402,142,260
서울특별시,종로구,평창동,834,226,608,59,18,41,35,9,26,740,199,541
서울특별시,종로구,무악동,436,111,325,81,23,58,32,4,28,323,84,239
서울특별시,종로구,교남동,577,175,402,119,47,72,28,13,15,430,115,315
서울특별시,종로구,가회동,251,71,180,19,5,14,10,2,8,222,64,158
서울특별시,종로구,종로1.2.3.4가동,1489,1078,411,426,344,82,21,13,8,1042,721,321
서울특별시,종로구,종로5.6가동,616,336,280,133,87,46,24,9,15,459,240,219
서울특별시,종로구,이화동,601,210,391,134,58,76,33,10,23,434,142,292
서울특별시,종로구,창신1동,813,427,386,234,148,86,37,14,23,542,265,277
서울특별시,종로구,창신2동,951,380,571,251,116,135,26,6,20,674,258,416
서울특별시,종로구,창신3동,404,142,262,85,41,44,11,2,9,308,99,209
서울특별시,종로구,숭인1동,558,212,346,133,56,77,14,4,10,411,152,259
서울특별시,종로구,숭인2동,954,510,444,229,146,83,25,9,16,700,355,345
서울특별시,종로구,청운효자동,641,180,461,98,29,69,34,9,25,509,142,367
서울특별시,종로구,혜화동,846,278,568,115,49,66,37,16,21,694,213,481
서울특별시,중구,소계,7987,3237,4750,2553,1220,1333,324,105,219,5110,1912,3198
서울특별시,중구,소공동,87,45,42,17,13,4,-,-,-,70,32,38
서울특별시,중구,회현동,553,324,229,219,160,59,8,2,6,326,162,164
서울특별시,중구,명동,199,96,103,24,7,17,-,-,-,175,89,86
서울특별시,중구,필동,316,153,163,56,38,18,8,2,6,252,113,139
서울특별시,중구,장충동,271,109,162,60,26,34,6,1,5,205,82,123
서울특별시,중구,광희동,475,225,250,111,58,53,15,6,9,349,161,188
서울특별시,중구,을지로동,292,197,95,91,75,16,10,5,5,191,117,74
서울특별시,중구,신당5동,619,240,379,219,104,115,19,4,15,381,132,249
서울특별시,중구,황학동,700,276,424,253,121,132,17,5,12,430,150,280
서울특별시,중구,중림동,648,286,362,237,137,100,33,13,20,378,136,242
서울특별시,중구,신당동,636,291,345,207,125,82,18,5,13,411,161,250
서울특별시,중구,다산동,765,275,490,206,89,117,38,14,24,521,172,349
서울특별시,중구,약수동,1204,346,858,441,126,315,92,30,62,671,190,481
서울특별시,중구,청구동,868,258,610,340,111,229,43,14,29,485,133,352
서울특별시,중구,동화동,354,116,238,72,30,42,17,4,13,265,82,183
서울특별시,용산구,소계,10498,3715,6783,3029,1336,1693,96,25,71,7373,2354,5019
서울특별시,용산구,후암동,954,326,628,287,122,165,15,6,9,652,198,454
서울특별시,용산구,용산2가동,573,177,396,192,57,135,7,-,7,374,120,254
서울특별시,용산구,남영동,969,693,276,559,448,111,4,2,2,406,243,163
서울특별시,용산구,원효로2동,570,171,399,189,72,117,6,1,5,375,98,277
서울특별시,용산구,효창동,321,103,218,52,18,34,1,-,1,268,85,183
서울특별시,용산구,용문동,532,135,397,207,51,156,4,-,4,321,84,237
서울특별시,용산구,이촌1동,746,157,589,18,5,13,1,-,1,727,152,575
서울특별시,용산구,이촌2동,427,104,323,75,19,56,4,1,3,348,84,264
서울특별시,용산구,이태원1동,375,116,259,78,27,51,7,4,3,290,85,205
서울특별시,용산구,이태원2동,513,139,374,97,23,74,4,1,3,412,115,297
서울특별시,용산구,서빙고동,483,155,328,111,36,75,10,1,9,362,118,244
서울특별시,용산구,보광동,791,239,552,303,97,206,15,3,12,473,139,334
서울특별시,용산구,청파동,1065,412,653,373,164,209,8,3,5,684,245,439
서울특별시,용산구,원효로1동,517,187,330,132,60,72,2,-,2,383,127,256
