,index,시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
0,46,북가좌2동노인복지센터,서울특별시 서대문구 증가로20길 43 (북가좌동),서울특별시 서대문구 북가좌동 5-106,북가좌2동노인복지센터,,북가좌2동노인복지센터,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토),,,37.58120413,126.9179051,2022-08-01,3120000,서울특별시 서대문구
1,47,효림재가노인지원센터,서울특별시 서대문구 경기대로9길 62 (충정로3가),서울특별시 서대문구 충정로3가 1-38,효림재가노인지원센터,,효림재가노인지원센터,저소득어르신,10:30~12:00,밑반찬배달(화+금),2006-10-02,,37.56432894,126.9608681,2022-08-01,3120000,서울특별시 서대문구
2,48,인왕어르신복지센터,서울특별시 서대문구 통일로26길 12-5 (홍제동),서울특별시 서대문구 홍제동 23-21,인왕어르신복지센터,,인왕어르신복지센터,저소득어르신,10:30~12:00,경로식당(월+화+수+목+금+토)+밑반찬배달(화+목),2015-01-19,,37.58279515,126.9506698,2022-08-01,3120000,서울특별시 서대문구
3,236,종로종합사회복지관,서울특별시 종로구 지봉로13길 82(창신동),,종로종합사회복지관,02-766-8282,종로종합사회복지관,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2006-01-01,2050-12-31,37.57719623,127.0121786,2024-08-05,3000000,서울특별시 종로구
4,237,종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8(이화동),,종로노인종합복지관,02-742-9500,종로노인종합복지관,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2007-02-01,2050-12-31,37.57666665,127.006003,2024-08-05,3000000,서울특별시 종로구
5,238,종로노인종합복지관 무악센터,서울특별시 종로구 통일로14길 30(무악동),,종로노인종합복지관 무악센터,02-6247-9900,종로노인종합복지관 무악센터,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2014-06-19,2050-12-31,37.57581601,126.9580239,2024-08-05,3000000,서울특별시 종로구
6,290,다시서기종합지원센터,서울특별시 용산구 한강대로 92길 6,서울특별시 용산구 갈월동 14-30,대한성공회유지재단,02-777-5217,다시서기종합지원센터,노숙인,석식(18:30-19:30),월+화+수+목+금+토+일,2008-06-26,,37.54569095,126.9725568,2024-07-29,3020000,서울특별시 용산구
7,291,따스한채움터,서울특별시 용산구 한강대로 377,서울특별시 용산구 동자동 43-9,대한적십자,02-1666-7995,따스한 채움터,노숙인+주거취약계층,조식(08:00-10:00)+중식(12:00-14:00)+석식(17:00-19:00),월+화+수+목+금+토+일,2010-05-04,,37.55206991,126.9720746,2024-07-29,3020000,서울특별시 용산구
8,292,만나샘,서울특별시 용산구 후암로 57길 45,서울특별시 용산구 동자동 35-80,사회복지법인 인정복지재단,02-757-7595,만나샘,노숙인,중식(12:00-13:00)+석식(18:00-19:00),중식(월+화+수+목+금)+석식(월+화+수+목+금+토+일),2015-06-01,,37.55152257,126.974148,2024-07-29,3020000,서울특별시 용산구
9,333,요셉의원,서울특별시 영등포구 경인로100길 6,서울특별시 영등포구 영등포동 423-57,서울카톨릭사회복지회,2634-1760,실내,노숙인,14:00~16:00,목요일,2002-06-01,,37.515306,126.9050411,2024-12-03,3180000,서울특별시 영등포구
10,334,영광교회,서울특별시 영등포구 신길로 234 301호,서울특별시 영등포구 영등포본동 190-101 보광빌딩 301호,영광교회,,실내/실외,노숙인,"월,목(19:30), 일(12:00)","월,목,일",1999-06-01,,37.512828,126.910704,2024-12-03,3180000,서울특별시 영등포구
11,335,한국기독교복지협회,서울특별시 영등포구 신길로 245,서울특별시 영등포구 영등포동 602-5,밥사랑열린공동체,,실내/실외,노숙인,09:50(중식)/20:00(석식),"매일 급식(토요일제외)/ 중식, 석식",2001-12-01,,37.51379932,126.910905,2024-12-03,3180000,서울특별시 영등포구
12,336,광야교회,서울특별시 영등포구 경인로100길 3,서울특별시 영등포구 영등포본동 423-37,광야교회,2636-3373,실내,노숙인,11:30(중식) / 17:00(석식),"매일 급식/ 중식, 석식",1988-04-01,,37.515416,126.9052536,2024-12-03,3180000,서울특별시 영등포구
13,337,토마스의집,서울특별시 영등포구 경인로 828-1,서울특별시 영등포구 영등포동 423-113,토마스의집,2672-1004,실내,노숙인,11:00-13:00,월화수금토 급식/중식,1986-05-01,,37.515611,126.9050503,2024-12-03,3180000,서울특별시 영등포구
14,341,역삼노인복지센터,서울특별시 강남구 도곡로 27길 27,서울특별시 강남구 역삼동 781-34,역삼노인복지센터,02-501-5674,역삼노인복지센터,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.49453859,127.0418311,2025-02-16,3220000,서울특별시 강남구
15,342,논현노인종합복지관,서울특별시 강남구 강남대로128길 59,서울특별시 강남구 논현동 125-13,논현노인종합복지관,02-541-0227,논현노인종합복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:50),월+화+수+목+금,,,37.51206587,127.0260872,2025-02-16,3220000,서울특별시 강남구
16,357,양천어르신종합복지관 경로식당,서울특별시 양천구 목동로3길 106 (신정동),서울특별시 양천구 신정동 325-3,양천어르신종합복지관,02-2649-8815,양천어르신종합복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.510405,126.858621,2024-12-12,3140000,서울특별시 양천구
17,358,서서울어르신복지관 경로식당,서울특별시 양천구 가로공원 60가길 16,서울특별시 양천구 신월동 158-4,서서울어르신복지관,02-2608-4042,서서울어르신복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.534261,126.826635,2024-12-12,3140000,서울특별시 양천구
